run,run_dir,time_index,t_sec,region,n_points,interior_boundary_fraction,near_observation_distance_km,high_gradient_percentile,density_rmse,density_mae,density_bias,density_p95_abs,density_max_abs,dx_gradient_rmse,dy_gradient_rmse,dt_gradient_rmse,combined_gradient_magnitude_rmse,gradient_p95_abs
data_only,outputs/codex_sweep_high_amp_data_only_15000,0,0.0,full_domain,62500,0.1,50.0,75.0,33010792468.033855,8190430533.109077,3111516288.9515734,50311811583.352104,383327602318.3899,0.002146453168802126,0.0026094861953447923,8.981358209987784e-05,0.003380051166637177,0.007842161457811084
data_only,outputs/codex_sweep_high_amp_data_only_15000,0,0.0,interior,40000,0.1,50.0,75.0,17354556886.13108,5624090939.989047,-2072946348.18598,42855665832.51705,119622189059.42284,0.0010757761050369011,0.002489684474553037,9.140532619706541e-05,0.002713701889422637,0.006398537764438039
data_only,outputs/codex_sweep_high_amp_data_only_15000,0,0.0,near_observation,59280,0.1,50.0,75.0,28922401434.50703,7437295836.324884,2110711115.1448116,47481808814.85561,344838949258.7698,0.0019389736415609529,0.0025933453929969257,8.664496402146986e-05,0.0032392231259727703,0.007597247109623597
data_only,outputs/codex_sweep_high_amp_data_only_15000,0,0.0,high_gradient,15626,0.1,50.0,75.0,57062685686.15225,22245462140.11021,11378573339.514835,93950876169.3128,383327602318.3899,0.0036345092996359447,0.0035410973068277798,0.0001342920812132505,0.005076126707307424,0.009934495704992571
data_only,outputs/codex_sweep_high_amp_data_only_15000,15,1800.0,full_domain,62500,0.1,50.0,75.0,16844861463.14771,5165168632.412338,-2384455132.654113,27024165759.26868,176340892740.14307,0.002289924820139133,0.0044129263914362135,0.00016432050220532016,0.004974402099304849,0.011472010053885071
data_only,outputs/codex_sweep_high_amp_data_only_15000,15,1800.0,interior,40000,0.1,50.0,75.0,21055381436.188515,7983461363.173731,-3806515353.766514,36879726504.61111,176340892740.14307,0.0021519358523207086,0.005295995265851911,0.00019656575064572722,0.005719880406333338,0.013598721519923048
data_only,outputs/codex_sweep_high_amp_data_only_15000,15,1800.0,near_observation,59280,0.1,50.0,75.0,17237498276.233692,5402653462.794005,-2510958671.8905807,27913728532.410385,176340892740.14307,0.0022483337863825887,0.004505252538846578,0.0001665037089760213,0.005037859539415104,0.01172566686291238
data_only,outputs/codex_sweep_high_amp_data_only_15000,15,1800.0,high_gradient,15628,0.1,50.0,75.0,11269247119.167791,7041893651.005809,-1826435147.0227807,25550886886.508793,50962197095.18469,0.002320892041392248,0.006848254126881357,0.0002167496680850041,0.007234093230859025,0.015706369070157645
data_only,outputs/codex_sweep_high_amp_data_only_15000,30,3600.0,full_domain,62500,0.1,50.0,75.0,30542209264.704178,6576868764.411032,2115275765.970818,25649016894.254814,367711592568.1926,0.0018265057974779875,0.002263165540603262,9.609908792755966e-05,0.002909858540736175,0.006465987541640999
data_only,outputs/codex_sweep_high_amp_data_only_15000,30,3600.0,interior,40000,0.1,50.0,75.0,15485989674.99981,3900231342.709387,-2987023925.887734,18893485803.08601,148958928971.7406,0.0009103982984783636,0.002107685456676049,8.505478967021012e-05,0.0022974763031208545,0.005630084434877916
data_only,outputs/codex_sweep_high_amp_data_only_15000,30,3600.0,near_observation,59280,0.1,50.0,75.0,26672414340.641056,5903774568.180626,1227426048.5858636,23326478695.963108,331720670105.5971,0.0016721395517196249,0.0022245864668153947,9.123053109434707e-05,0.002784449431856694,0.006276292935570256
data_only,outputs/codex_sweep_high_amp_data_only_15000,30,3600.0,high_gradient,15626,0.1,50.0,75.0,47629341547.031746,14326183662.2364,9764043317.198338,61111320314.753944,367711592568.1926,0.0026989743568589237,0.002854054349200142,0.00014113879566224544,0.003930649942033922,0.007883872096367374
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,0,0.0,full_domain,62500,0.1,50.0,75.0,40783893929.697266,9325758806.990417,3378735921.180969,50989621041.210205,496483513194.4186,0.002321336316086826,0.0025098209298033388,9.380030260008852e-05,0.0034200295157835,0.00785088113749757
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,0,0.0,interior,40000,0.1,50.0,75.0,17576169261.150772,5549354407.022469,-3551836461.6820455,41625971119.38083,127901349277.45728,0.001088913956984246,0.0022673205799085493,7.895430518435555e-05,0.0025164876316205237,0.006055672742892829
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,0,0.0,near_observation,59280,0.1,50.0,75.0,35191708493.472336,8321954454.298534,2088203791.2849987,47617263741.33777,443794262755.1315,0.0021129757474594177,0.002513572136696293,8.77265397451575e-05,0.003284875544294382,0.007608752001921855
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,0,0.0,high_gradient,15626,0.1,50.0,75.0,69623485605.95299,24241497164.862896,13107645916.932314,111159674976.9529,496483513194.4186,0.004008497984290868,0.0030329274534758466,0.00011193172561636147,0.005027845834879079,0.010506898436173901
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,15,1800.0,full_domain,62500,0.1,50.0,75.0,6656484115.604726,2518430860.357979,-1379185788.9007673,17414642918.116325,40541978749.02411,0.0013255853907456331,0.0029040631915173204,0.00010934634816920163,0.003194169105157389,0.007385667047539865
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,15,1800.0,interior,40000,0.1,50.0,75.0,8319913475.392519,3879635591.2319107,-2129527679.501944,21787287481.509502,40541978749.02411,0.0013105095653489773,0.0032949557885278355,0.00011944805468604574,0.0035480187157049406,0.008113970829763877
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,15,1800.0,near_observation,59280,0.1,50.0,75.0,6813499647.21071,2635670110.4383197,-1443678172.5696025,17947890234.183064,40541978749.02411,0.0013075203825924395,0.0029681635383599523,0.00010902656644737007,0.0032452258986910994,0.007472888117201555
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,15,1800.0,high_gradient,15628,0.1,50.0,75.0,7258008294.610936,4114114069.666137,-2621941973.0639377,18470417984.328957,35735407910.90732,0.0013060599409950122,0.0040741216872660895,0.00011519803615537397,0.004279898442680368,0.008694892287477388
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,30,3600.0,full_domain,62500,0.1,50.0,75.0,31475903053.052826,6860616941.598627,3210965887.7735205,32262706183.615913,397270255262.0379,0.0018492258077012083,0.0023477374538420953,0.000100912355461113,0.002990265965349213,0.007046717252170733
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,30,3600.0,interior,40000,0.1,50.0,75.0,11981582582.354584,3787317157.9270735,-1792089531.220481,26702755037.397064,99909749843.65063,0.0008555562142529566,0.0022129034255390563,8.891273569658912e-05,0.0023741995453369948,0.005855868377965404
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,30,3600.0,near_observation,59280,0.1,50.0,75.0,26937708296.283188,6097906116.988838,2276958621.8942113,30603964092.69882,348458170006.1889,0.001683948574632224,0.002356843546602046,9.572146340384347e-05,0.0028981989068595313,0.006894869252938507
xy030_t030,outputs/codex_sweep_high_amp_xy030_t030_15000,30,3600.0,high_gradient,15626,0.1,50.0,75.0,52113623976.311005,17214799414.758144,11562486610.259096,70014652010.81554,397270255262.0379,0.002964929580838422,0.0028942992895608375,0.000124974263978452,0.004145285799982919,0.008073719583947179
xy070_t030,outputs/codex_sweep_high_amp_xy070_t030_15000,0,0.0,full_domain,62500,0.1,50.0,75.0,42288524670.12142,9540481379.101778,3746305227.218831,51237734581.09116,522977202814.7683,0.002436732973467346,0.0028705239454297066,0.00010835081044536807,0.0037668707441844227,0.00889945014031325
xy070_t030,outputs/codex_sweep_high_amp_xy070_t030_15000,0,0.0,interior,40000,0.1,50.0,75.0,17125549401.720682,5489940870.35466,-3368915552.767425,41516523662.15544,115657656462.9204,0.0011100546575631492,0.0023876552623397157,9.018757437314023e-05,0.0026346257406181027,0.0064135217671553255
